status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Casa;3;3;Campo Largo;83609580;Rua Lourival Costa;18;;Vila Torres I;PR;160.0;480.0;160.0;160.0;1;18;;290000;150.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-09-10T17:39:57.690;;0;290150.0
Disponível;Residencial;Casa;3;2;Campo Largo;83605490;Rua Dos Canários;183;Casa em construção;Jardim Lise;PR;75.0;151.0;75.0;151.0;2;0;;330000;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-08-30T15:37:10.840;;0;330000.0
Disponível;Residencial;Casa;4;3;Campo Largo;83604340;Rua Raimundo Ferreira Portela;153;;Vila Itaqui;PR;352.0;920.0;352.0;352.0;2;0;;1090000;0.0;N;2023-09-27T00:10:26.800;N;6;0;2023-07-28T09:21:00.890;;0;1090000.0
Vendido;Residencial;Casa;2;2;Campo Largo;83602165;Travessa Miguel Czelusniak;131;casa 21;Vila Santa Terezinha;PR;48.78;147.86;48.78;270.05;1;21;Residencial Vitti Machado III;195000;0.0;N;2023-09-27T00:10:26.800;S;zn;0;2023-09-26T10:44:15.127;;0;195000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83604120;Rua Joaquim Celestino Ferreira;1056;casa 14;Jardim Esmeralda;PR;54.8;190.49;54.8;190.49;3;0;;250000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-09-26T16:28:20.713;;0;250000.0
Disponível;Residencial;Casa;4;0;Campo Largo;83601572;Rua Santa Mariana;230;Casa 06;Vila De Lurdes;PR;430.0;890.0;430.0;890.0;4;0;Park View;4300000;0.0;N;2023-09-27T00:10:26.800;S;zr2;0;2023-03-31T15:54:29.610;;0;4300000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83602780;Rua Francisco Druzyk;84;Condomínio Águas Claras;Águas Claras;PR;67.57;135.0;67.57;67.57;1;1;Condomínio Águas Claras;309900;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-09-13T15:12:35.437;;0;310000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83604530;Rua Ermelino Ribas De Ramos;115;casa 9;Vila Campesi;PR;113.0;140.0;113.0;113.0;1;0;Residencial Amanda 1;320000;0.0;N;2023-09-27T00:10:26.800;S;ZR3;0;2023-07-06T09:58:36.807;;0;320000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83603100;Rua Das Begônias;429;;Jardim Das Acácias;PR;70.0;169.0;70.0;70.0;1;2;;185000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2022-05-16T11:05:15.007;;0;185000.0
Disponível;Residencial;Casa;2;2;Campo Largo;83603265;Rua Salmão;300;Casa 128;Jardim Três Rios;PR;39.76;125.1;39.76;39.76;1;7;Residencial Morada do Sol;145000;626.3;N;2023-09-27T00:10:26.800;S;ZR;0;2023-09-11T14:48:08.877;;0;145766.3
Disponível;Residencial;Casa;3;3;Campo Largo;83604651;Rua Reginaldo Rosa;506;;Vila Glória;PR;100.0;620.0;100.0;620.0;1;23;;352000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-03-27T10:51:12.613;;0;352000.0
Disponível;Residencial;Casa;2;2;Campo Largo;83606000;Avenida Ademar De Barros;1260;casa;Jardim Social;PR;385.5;385.5;385.5;385.5;0;0;;435000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-08-25T09:24:59.147;;0;435000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83603123;Rua Reinaldo Gadens;1;unidade 01;Jardim Iruama;PR;64.26;180.0;64.26;64.26;2;0;;280000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-09-13T15:02:59.787;;0;280000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83603123;Rua Reinaldo Gadens;1;UNIDADE - 02;Jardim Iruama;PR;64.26;180.0;64.26;64.26;2;0;;280000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-09-13T15:03:55.933;;0;280000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83606520;Rua José Lunardon;70;;Vila Ferrari Ii;PR;254.45;525.0;254.45;525.0;2;3;;990000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-08-02T14:43:18.243;;0;990000.01
Disponível;Residencial;Casa;3;3;Campo Largo;83607380;Rua Claudemir Pereira Monteiro;80;;Jardim Rondinha;PR;84.0;420.1;84.0;420.1;1;2;;220000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2021-06-10T11:44:22.653;;0;220000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83604690;Rua Gade;123;;Jardim Cristo Rei;PR;94.0;120.0;94.0;94.0;0;11;Condomínio Boa Vista;270000;324.37;N;2023-09-27T00:10:26.800;N;ZR;0;2023-06-26T15:48:58.637;;0;270324.37
Disponível;Residencial;Casa;3;2;Campo Largo;83604658;Rua Francisco Alves Ferreira;640;;Vila Glória;PR;61.62;0.0;61.62;61.62;1;0;Condomínio Itaqui;349000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-06-14T11:06:32.330;;0;349000.0
Disponível;Comercial/Residencial;Casa;3;3;Campo Largo;83603020;Rua Vergínio Camillo;27;;Jardim Das Acácias;PR;100.0;450.0;100.0;450.0;1;0;;240000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-09-25T16:25:09.807;;0;240000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83603050;Rua Águas Marinhas;86;;Jardim Das Acácias;PR;110.0;450.0;110.0;110.0;1;1;;250000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-03-29T10:19:26.233;;0;250000.0
Reservada;Residencial;Casa;3;3;Campo Largo;83602220;Rua Edgar Marochi;42;;Conjunto Águas Claras;PR;59.4;118.8;59.4;118.8;1;0;;310000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-09-18T10:20:30.117;;0;310000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83602675;Rua Rubens Braga;14;casa;São Marcos;PR;95.05;210.0;95.05;95.05;4;13;0;330000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-08-09T16:41:31.843;;0;330000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83602320;Rua Luiz Carlos Barbosa;4;;Conjunto Águas Claras;PR;120.0;200.0;120.0;200.0;2;8;0;230000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-08-22T12:41:40.037;;0;230000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83606177;Rua Maria Aparecida De Oliveira;858;;Loteamento São Gerônimo;PR;94.0;187.7;94.0;94.0;0;0;;460000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-08-09T14:44:57.797;;0;460000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83602742;Avenida Portugal;210;;Conjunto Habitacional Monsenhor Francisco Gorski;PR;59.0;200.0;59.0;59.0;1;0;;245000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-09-13T15:11:46.623;;0;245000.0
Disponível;Residencial;Casa;2;2;Campo Largo;83604360;Estrada Dos Expedicionários;95;Casa;Bom Jesus;PR;54.31;186.84;54.31;54.31;1;0;;200000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-07-07T16:09:26.770;;0;200000.0
Disponível;Residencial;Casa;4;4;Campo Largo;83604363;Rua Martha Spramovski;89;Casa;Bom Jesus;PR;90.0;300.0;90.0;90.0;2;0;;250000;325.55;N;2023-09-27T00:10:26.800;N;Z;0;2023-09-13T15:05:00.067;;0;250325.55
Disponível;Residencial;Casa;1;1;Campo Largo;83601250;Rua João Batista Campagnaro;12;casa;Centro;PR;70.0;520.0;70.0;70.0;1;16;;280000;0.0;N;2023-09-27T00:10:26.800;N;ZR3;0;2023-06-15T10:03:20.897;;0;280000.0
Disponível;Comercial;Casa;2;2;Campo Largo;83603090;Rua Das Araucárias;245;;Jardim Das Acácias;PR;45.89;202.9;45.89;156.65;1;1;;195000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-03-24T15:42:10.260;;0;195000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83606030;Rua Serafim Amur Ferreira Do Amaral;106;casa;Jardim Social;PR;0.0;360.0;0.0;360.0;1;0;;300000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-04-04T14:49:30.860;;0;300000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83604672;Rua Dã;170;Casa;Jardim Cristo Rei;PR;100.0;128.46;100.0;100.0;2;11;Condomínio Residencial Boa Vista 2A;225000;419.64;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-05-16T08:50:58.690;;0;225419.64
Disponível;Residencial;Casa;3;3;Campo Largo;83604672;Rua Dã;61;;Jardim Cristo Rei;PR;57.0;120.0;57.0;63.0;2;10;;199900;430.0;N;2023-09-27T00:10:26.800;N;z;0;2023-08-02T10:58:56.007;;0;200330.0
Vendido;Residencial;Casa;2;2;Campo Largo;83604678;Rua Simeão;127;;Jardim Cristo Rei;PR;50.16;121.6;50.16;121.6;0;0;;200000;0.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-09-13T14:54:07.077;;0;200000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83604760;Rua Benedito Prudêncio Da Silva Filho;72;;Nova Trento Ii;PR;100.0;413.0;100.0;100.0;2;0;;290000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-09-21T08:52:00.030;;0;290000.0
Disponível;Residencial;Casa;4;2;Campo Largo;83609130;Avenida Arapongas;94;;Vila Gilcy;PR;130.0;600.0;130.0;130.0;4;0;;730000;860.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-06-22T17:13:06.317;;0;730860.0
Disponível;Residencial;Casa;2;2;Campo Largo;83602200;Rua Antônio Boaron;831;casa;Botiatuva;PR;59.65;121.94;59.65;62.29;1;0;;290000;0.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-08-24T14:15:55.403;;0;290000.0
Vendido;Residencial;Casa;3;3;Campo Largo;83602220;Rua Edgar Marochi;86;casa;Conjunto Águas Claras;PR;58.5;117.0;58.5;117.0;0;0;;215000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-04-13T15:25:57.587;;0;215000.0
Disponível;Residencial;Apartamento;3;2;Campo Largo;83607140;Rua Engenheiro Tourinho;187;AP 201;Vila Solene;PR;100.2;115.82;100.2;100.2;2;3;;695000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-08-02T12:50:48.200;;0;695000.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83602764;Rua Ubaldo Bonato;18;;Jardim Céu Azul;PR;51.74;51.74;51.74;51.74;0;2;;190000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-05-25T14:52:39.770;;0;190000.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83605090;Rua Ângelo Zanetti;795;Bloco 16 apto 202;Loteamento Itaboa;PR;47.09;47.09;47.09;47.09;0;2;Firenze;199900;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-07-12T09:31:09.623;;0;199900.0
Disponível;Residencial;Casa;2;2;Campo Largo;83604100;Rua Roraima;251;casa  3 residencial napoli;Jardim Esmeralda;PR;50.59;267.56;50.59;267.56;4;5;;240000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-03-16T11:14:32.907;;0;240000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83602665;Rua Casemiro De Abreu;30;Casa 115;São Marcos;PR;71.95;146.54;71.95;71.95;1;0;Condomínio Veredas;340000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-06-07T14:46:02.713;;0;340000.0
Disponível;Residencial;Casa;2;2;Campo Largo;83602160;Rua José De Paiva Vidal;1716;;Vila Santa Terezinha;PR;50.33;100.8;50.33;50.33;1;12;Tumalina II;180000;87.13;N;2023-09-27T00:10:26.800;S;z;0;2023-09-11T14:38:59.570;;0;180157.13
Vendido;Residencial;Casa;2;2;Campo Largo;83602490;Rua Amazilio Lavall;640;Casa 101;Jardim Florestal;PR;45.0;126.0;45.0;45.0;1;0;Morada Verde;180000;0.0;N;2023-09-27T00:10:26.800;S;Zr;0;2023-09-13T13:33:03.997;;0;180095.0
Disponível;Residencial;Casa;3;3;Campo Largo;83602230;Rua Antônio Gabardo Júnior;101;CASA 4;Águas Claras;PR;56.25;134.46;56.25;56.25;1;18;SOLAR DAS ARAUCARIAS;290000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-07-26T11:25:27.477;;0;290000.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83604360;Estrada Dos Expedicionários;1145;APTO 2628 BLOCO 26;Itaqui;PR;48.0;11000.0;48.0;43.0;1;4;MADISON CONDOMÍNIO CLUBE;155000;100.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-02-16T11:48:01.020;;0;155300.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83604581;Rua Maria Joaquina Vaz;721;Ap 144 bloco 1 - DESOCUPADO;Jardim Itaqui;PR;50.04;0.0;50.04;43.61;1;5;Condomínio Califórnia - DESOCUPADO;200000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-08-10T14:34:43.240;;0;200300.0
Disponível;Residencial;Casa;3;2;Campo Largo;83604658;Rua Francisco Alves Ferreira;640;casa 217;Vila Glória;PR;56.82;103.26;56.82;103.26;1;0;Residêncial Itaqui;330000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-03-23T10:52:30.373;;0;330000.0
Disponível;Residencial;Casa;5;5;Campo Largo;83602616;Rua Emília Firszt;115;res 03;Botiatuva;PR;126.0;134.49;126.0;126.0;2;9;Residencial Roma;440000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-06-30T13:38:25;;0;440000.0
