bairro;cidade;estado;dormitorios;Quartos;metragem;area_total;garagem;idade;condominiofechado;esquina;Andar;AceitaPets;MobiliadoCombo;garden;elevador;Academia;MobiliadoVenda;Gas
Cajuru;Curitiba;PR;6;6;260.0;260.0;0;32.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Abranches;Curitiba;PR;3;2;108.11;108.11;2;6.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Santa Cândida;Curitiba;PR;3;2;93.92;93.92;2;8.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;167.59;167.59;2;1.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;213.8;213.8;2;1.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Santa Cândida;Curitiba;PR;3;2;79.58;79.58;2;25.0;S;S;0;0;Nao;0.0;0.0;0;0;0
Alto Da Rua Xv;Curitiba;PR;4;2;305.42;305.42;5;10.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Santa Felicidade;Curitiba;PR;3;2;132.58;132.58;2;18.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Cachoeira;Curitiba;PR;3;2;396.13;396.13;10;22.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Mercês;Curitiba;PR;3;2;119.2;119.2;2;20.0;N;S;0;0;Nao;0.0;0.0;0;0;0
Cidade Industrial;Curitiba;PR;3;2;220.0;220.0;4;13.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Água Verde;Curitiba;PR;5;4;449.0;449.0;6;23.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Guabirotuba;Curitiba;PR;3;3;168.0;168.0;5;13.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Hugo Lange;Curitiba;PR;4;0;243.66;243.66;4;20.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Água Verde;Curitiba;PR;3;0;198.56;198.56;2;2.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Xaxim;Curitiba;PR;3;2;126.0;126.0;2;10.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;167.59;167.59;2;1.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Hauer;Curitiba;PR;3;2;111.46;111.46;1;41.0;S;N;0;0;Nao;0.0;0.0;0;0;0
São Lourenço;Curitiba;PR;4;2;201.89;201.89;4;25.0;S;S;0;0;Nao;0.0;0.0;0;0;0
Vista Alegre;Curitiba;PR;3;2;120.0;120.0;1;19.0;S;N;0;0;Nao;0.0;0.0;0;0;1
Bacacheri;Curitiba;PR;3;2;183.28;183.28;3;14.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Xaxim;Curitiba;PR;3;2;97.84;97.84;2;14.0;S;N;0;0;Nao;0.0;0.0;0;0;1
Bairro Alto;Curitiba;PR;0;0;150.0;150.0;3;38.0;S;N;0;0;Nao;0.0;0.0;0;0;1
Bairro Alto;Curitiba;PR;3;2;94.69;94.69;1;0.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Capão Raso;Curitiba;PR;3;3;79.0;79.0;2;19.0;S;N;0;0;Nao;0.0;0.0;0;0;1
Hauer;Curitiba;PR;3;2;175.0;175.0;3;8.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Bairro Alto;Curitiba;PR;3;2;124.0;124.0;2;1.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;167.59;167.59;2;1.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;167.59;167.59;2;1.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Vila Izabel;Curitiba;PR;3;0;213.8;213.8;2;1.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Umbará;Curitiba;PR;5;0;386.0;386.0;4;12.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Santa Felicidade;Curitiba;PR;3;2;203.36;203.36;0;12.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Santa Cândida;Curitiba;PR;3;2;211.72;211.72;3;0.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Santa Cândida;Curitiba;PR;3;2;130.12;130.12;3;7.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Uberaba;Curitiba;PR;4;0;303.61;303.61;4;14.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Cajuru;Curitiba;PR;4;2;240.0;240.0;0;0.0;N;S;0;0;Nao;0.0;0.0;0;0;0
Cidade Industrial;Curitiba;PR;2;2;71.2;71.2;1;12.0;S;N;0;0;Nao;1.0;0.0;0;0;1
Santa Cândida;Curitiba;PR;3;3;168.01;168.01;3;10.0;S;N;0;0;Nao;0.0;0.0;0;0;1
Água Verde;Curitiba;PR;3;0;198.65;198.65;2;4.0;S;N;0;0;Nao;0.0;0.0;0;0;0
Santa Felicidade;Curitiba;PR;2;2;32.39;32.39;1;13.0;S;N;0;0;Nao;0.0;0.0;0;0;1
Pinheirinho;Curitiba;PR;3;2;110.78;110.78;2;11.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cidade Industrial;Curitiba;PR;4;3;300.0;300.0;2;46.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Bacacheri;Curitiba;PR;3;2;193.66;193.66;2;0.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Bairro Alto;Curitiba;PR;5;4;150.0;150.0;2;24.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Capão Da Imbuia;Curitiba;PR;3;2;127.46;127.46;2;30.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Atuba;Curitiba;PR;3;3;220.0;220.0;8;24.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Capão Da Imbuia;Curitiba;PR;3;2;166.47;166.47;2;25.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Bairro Alto;Curitiba;PR;3;2;82.0;82.0;0;15.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Uberaba;Curitiba;PR;4;3;220.0;220.0;0;22.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Uberaba;Curitiba;PR;4;4;327.0;327.0;3;33.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Atuba;Curitiba;PR;3;2;109.62;109.62;2;10.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Boa Vista;Curitiba;PR;3;2;97.81;97.81;6;44.0;N;S;0;0;Nao;0.0;0.0;0;0;1
Atuba;Curitiba;PR;3;3;170.06;170.06;2;15.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;3;3;82.02;82.02;1;25.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Sítio Cercado;Curitiba;PR;3;2;150.0;150.0;2;6.0;N;S;0;0;Nao;0.0;0.0;0;0;0
Capão Da Imbuia;Curitiba;PR;3;2;146.62;146.62;3;23.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Boa Vista;Curitiba;PR;3;2;189.1;189.1;3;12.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boqueirão;Curitiba;PR;3;2;240.0;240.0;2;11.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Campo De Santana;Curitiba;PR;3;2;81.41;81.41;2;0.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Pinheirinho;Curitiba;PR;3;2;120.0;120.0;3;2.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Sítio Cercado;Curitiba;PR;3;3;80.4;80.4;1;0.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Fanny;Curitiba;PR;3;2;207.5;207.5;4;38.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Alto Boqueirão;Curitiba;PR;3;3;67.76;67.76;1;3.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Capão Da Imbuia;Curitiba;PR;3;2;200.0;200.0;2;15.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Capão Da Imbuia;Curitiba;PR;3;2;220.0;220.0;4;0.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Boqueirão;Curitiba;PR;3;3;97.0;97.0;1;35.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cidade Industrial;Curitiba;PR;2;2;100.0;100.0;0;16.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cidade Industrial;Curitiba;PR;2;2;67.67;67.67;1;0.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Sítio Cercado;Curitiba;PR;3;2;95.35;95.35;2;2.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Uberaba;Curitiba;PR;3;2;115.88;115.88;2;1.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Cidade Industrial;Curitiba;PR;4;2;352.82;352.82;3;44.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Fazendinha;Curitiba;PR;3;2;135.08;135.08;2;18.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Cidade Industrial;Curitiba;PR;3;3;80.0;80.0;1;11.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Bairro Alto;Curitiba;PR;3;2;152.67;152.67;0;11.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Novo Mundo;Curitiba;PR;3;2;127.0;127.0;1;20.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Atuba;Curitiba;PR;3;3;128.5;128.5;2;1.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Bairro Alto;Curitiba;PR;4;2;190.0;190.0;3;1.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Boa Vista;Curitiba;PR;3;2;117.8;117.8;1;29.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Alto Boqueirão;Curitiba;PR;3;2;100.0;100.0;1;1.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Fazendinha;Curitiba;PR;3;3;81.46;81.46;2;40.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Fanny;Curitiba;PR;3;2;119.28;119.28;3;11.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Tatuquara;Curitiba;PR;2;2;46.6;46.6;2;10.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Santa Cândida;Curitiba;PR;3;3;111.0;111.0;1;29.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Alto Boqueirão;Curitiba;PR;3;3;170.0;170.0;5;38.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Boqueirão;Curitiba;PR;3;3;160.0;160.0;2;41.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Tarumã;Curitiba;PR;3;2;170.0;170.0;3;34.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Pilarzinho;Curitiba;PR;2;1;100.0;100.0;0;23.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Bairro Alto;Curitiba;PR;3;2;143.13;143.13;2;24.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Campina Do Siqueira;Curitiba;PR;3;3;238.27;238.27;0;29.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Pinheirinho;Curitiba;PR;5;3;140.0;140.0;2;1.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Uberaba;Curitiba;PR;3;2;180.0;180.0;2;0.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Uberaba;Curitiba;PR;4;3;233.14;233.14;4;19.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Pilarzinho;Curitiba;PR;3;2;188.0;188.0;2;15.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Orleans;Curitiba;PR;3;2;130.23;130.23;2;11.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Alto Da Rua Xv;Curitiba;PR;3;2;108.63;108.63;2;35.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Pinheirinho;Curitiba;PR;3;2;110.0;110.0;1;13.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Jardim Das Américas;Curitiba;PR;3;2;198.52;198.52;2;15.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Lindóia;Curitiba;PR;3;2;192.65;192.65;2;21.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Uberaba;Curitiba;PR;3;2;204.19;204.19;3;20.0;N;N;0;0;Nao;0.0;0.0;0;0;0
Campo De Santana;Curitiba;PR;2;2;46.44;46.44;2;8.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Mossunguê;Curitiba;PR;3;2;135.2;135.2;1;34.0;N;N;0;0;Nao;0.0;0.0;0;0;1
Tingui;Curitiba;PR;3;0;145.0;145.0;2;0.0;N;N;0;0;Nao;0.0;0.0;0;0;1
