status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Apartamento;2;2;Araucária;83706160;Rua Arapongas;1528;APTO 2203 TORRE 02;Capela Velha;PR;55.12;0.0;55.12;43.12;1;10;RESINDENCIAL SAN DIEGO;142000;550.0;N;2023-09-27T00:10:26.800;S;ZR2;0;2023-05-23T10:52:51.757;;0;142921.55
Disponível;Residencial;Apartamento;2;2;Araucária;83708023;Rua Papa João XXIII;440;Bloco 31 - Apto 40;Sabiá;PR;49.95;254.08;49.95;43.93;1;8;Residencial Spazio Campodoro;187000;170.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-09-25T15:33:26.280;;0;187470.0
Disponível;Residencial;Apartamento;2;2;Araucária;83706236;Travessa Green Village;40;aptº 401 BL 12;Capela Velha;PR;59.0;0.0;59.0;59.0;1;9;;219000;0.0;N;2023-09-27T00:10:26.800;S;ZU;0;2023-07-18T09:19:31.903;;0;219000.0
Disponível;Residencial;Apartamento;2;2;Araucária;83709440;Rua Cactus;342;BLOCO 4 AP 14;Campina Da Barra;PR;41.7;14794.87;41.7;41.7;0;3;RESIDENCIAL DORACY CARDOSO-CONDOMINIO CLUBE BALTIMORE;155000;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-08-28T18:59:38.820;;0;155000.0
Reservada;Residencial;Apartamento;2;2;Araucária;83709000;Rua Minas Gerais;985;DESOCUPADO - APTO 204 - BL. 14;Costeira;PR;54.58;0.0;54.58;48.73;1;8;Parque Constance;225000;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-09-04T17:52:47.367;;0;225290.0
Disponível;Residencial;Apartamento;2;2;Araucária;81020490;Rua Pascoal Fernandes Leite;0;Un 43;Thomaz Coelho;PR;41.54;41.54;41.54;41.54;1;2;Lugano;189900;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-09-21T15:19:29.257;;0;189900.0
Disponível;Residencial;Apartamento;3;3;Araucária;83706490;Rua Pelicano;1025;BLOCO 03 / AP 331;Capela Velha;PR;73.24;8815.36;73.24;62.93;1;9;Condomínio Residencial Mirante;190000;176.55;N;2023-09-27T00:10:26.800;S;ZR;0;2023-09-01T17:29:04.040;;0;190559.08
Disponível;Residencial;Apartamento;2;2;Araucária;83706750;Rua Yoshiaki Nagano;381;;Capela Velha;PR;42.83;42.83;42.83;42.83;1;10;Parque das Aguas;170000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-08-24T16:00:08.830;;0;170000.0
Disponível;Residencial;Apartamento;2;2;Araucária;83701475;Rua Piquiri;32;Apto 01;Iguaçu;PR;55.06;71.93;55.06;55.06;1;13;Condomínio Residencial Oxford;209000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-07-28T13:27:31.337;;0;209000.0
Disponível;Residencial;Apartamento;2;2;Araucária;83709500;Rua Lótus;401;bloco 4 apto 401;Campina Da Barra;PR;46.77;28657.06;46.77;40.66;1;10;RESERVA DAS FLORES;160000;190.0;N;2023-09-27T00:10:26.800;S;zr3;0;2023-09-21T13:04:30.870;;0;160440.0
Disponível;Residencial;Apartamento;2;2;Araucária;83708023;Rua Papa João XXIII;440;Ap. 201 - Bl.04;Sabiá;PR;43.94;0.0;43.94;43.94;1;8;Residencial Spazio Campodoro;197000;132.13;N;2023-09-27T00:10:26.800;S;ZR4;0;2023-08-25T13:25:01.037;;0;197452.13
Disponível;Residencial;Apartamento;2;2;Araucária;83706750;Rua Yoshiaki Nagano;260;Ap 103 bloco 03;Capela Velha;PR;48.0;35348.7;48.0;42.75;1;5;Cond. Resid. Canadá;170000;98.39;N;2023-09-27T00:10:26.800;S;zr;0;2023-09-25T16:18:40.137;;0;170381.94
Disponível;Residencial;Apartamento;2;2;Araucária;83709500;Rua Lótus;401;AP 144 BL 1;Campina Da Barra;PR;46.77;28657.06;46.77;40.66;1;0;Condomínio Residencial Reserva das Flores;144900;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-09-11T22:04:40.700;;0;145160.0
Vendido;Residencial;Apartamento;2;2;Araucária;83708525;Rua Papa João XXIII;440;Bloco 7, AP 301;Cachoeira;PR;49.0;1300.0;49.0;43.94;1;8;Spazio Campodoro;195000;147.21;N;2023-09-27T00:10:26.800;S;ZR;0;2023-07-20T10:28:58.587;;0;195469.21
Disponível;Residencial;Apartamento;2;2;Araucária;83709020;Rua Nossa Senhora De Fátima;295;apto 103 fundos;Costeira;PR;50.0;0.0;50.0;42.5;0;0;;185000;1.0;N;2023-09-27T00:10:26.800;S;sud;0;2023-08-29T16:12:24.903;;0;185001.0
Vendido;Residencial;Garden;2;2;Araucária;83708320;Rua Lindolfo Luiz Boell;170;apto 13, Bl 06;Tindiquera;PR;42.27;69.64;42.27;69.64;1;10;Condomínio Residencial Di Fiori !;200000;103.0;N;2023-09-27T00:10:26.800;S;ZR2;0;2023-08-21T11:10:22.483;;0;200564.73
